stay_type,room_type,combined_name,risk_score,avg_rating,review_count
Couple,Large Studio with Kitchenette and Balcony,Numa Novela - numa-i-novela-rooms-amp-apartments,0.1242564825667583,8.846153846153847,26
Couple,Large Studio with Kitchenette and Balcony,Numa Vici - dolce-vita-residence,0.5266564587668706,8.25,8
Couple,Large Studio with Kitchenette and Extra Bed,Numa Torstraße - alte-schonhauser-str-2-10119-berlin,0.05,9.25,4
Couple,Large Studio with Kitchenette and Sofa Bed,Numa Belfort - belfort-berlin,,2.0,1
Couple,Large Studio with Kitchenette and Sofa Bed,Numa Drift - gaijin,1.692128913053971,8.142857142857142,7
Couple,Large Studio with Kitchenette and Sofa Bed,Numa Fore - my4walls-serviced-apartments-hamburg,0.26574404761904763,8.875,8
Couple,Large Studio with Kitchenette and Sofa Bed,Numa Novela - numa-i-novela-rooms-amp-apartments,0.16190476190476188,9.142857142857142,7
Couple,Large Studio with Kitchenette and Sofa Bed,Numa Rodo - rodo-hotel-fashion-delight,6.112239977862977,4.5,2
Couple,Large Studio with Kitchenette and Sofa Bed,Numa Sketch - sketch-rooms-amp-apartments,2.0756953600399446,8.0,2
Couple,Large Studio with Kitchenette and Terrace,Numa Wood - the-wood,0.1,9.0,5
Couple,Large Studio with Kitchenette and Terrace - Accessible,Numa Wood - the-wood,0.324013605442177,8.714285714285714,7
Couple,"Large Studio with Kitchenette, Balcony and Sofa Bed",Numa Belfort - belfort-berlin,,8.0,1
Couple,"Large Studio with Kitchenette, Balcony and Sofa Bed",Numa Drift - gaijin,0.05,9.25,4
Couple,"Large Studio with Kitchenette, Balcony and Sofa Bed",Numa Leo - numa-i-leo-apartments,0.17200000000000001,9.12,25
Couple,"Large Studio with Kitchenette, Balcony and Sofa Bed",Numa Novela - numa-i-novela-rooms-amp-apartments,0.25150000000000006,8.8,5
Couple,Large Studio with Shared Terrace,Numa Bloomsbury - bedfordcornerhotel,3.3298241543838434,3.5,4
Couple,Maisonette,Numa Nørrebro - numa-i-drejervej,,8.0,1
Couple,Maisonette,Numa YAYS Amsterdam Maritime by Numa - yays-amsterdam-maritime,0.9556953600399444,8.0,5
Couple,Medium Double Room,Numa Kudamm - about-berlin-hotel,2.302759757211894,5.75,4
Couple,Medium Room,Numa Arc - numa-i-arc-rooms-amp-apartments,0.9134003171975147,8.194174757281553,103
Couple,Medium Room,Numa Barberini - capriceroma,1.5763070332760776,7.333333333333333,9
Couple,Medium Room,Numa Belfort - belfort-berlin,0.48650063453298886,8.333333333333334,3
Couple,Medium Room,Numa Bloomsbury - bedfordcornerhotel,0.28302521008403364,8.628571428571428,35
Couple,Medium Room,Numa Boxer - almodovarhotel-berlin-biohotel,0.8008902641229441,8.03125,32
Couple,Medium Room,Numa Champs-Élysées - numa-paris-champs-elysees,0.8909090909090909,8.545454545454545,11
Couple,Medium Room,Numa Drift - gaijin,0.3422926447574336,8.680555555555555,72
Couple,Medium Room,Numa Ivy - villa-ivy-by-heymcollections,1.3792242512140187,7.363636363636363,33
Couple,Medium Room,Numa Kudamm - about-berlin-hotel,0.8255847663546747,8.4,40
Couple,Medium Room,Numa Linea - capitol-roma,0.8593739061421746,7.82051282051282,117
Couple,Medium Room,Numa Maximilian - the-maximilian-by-heymcollections,1.8043672521884002,6.7894736842105265,19
Couple,Medium Room,Numa Mozart - tophotelmozart,0.9557048680680043,8.350877192982455,57
Couple,Medium Room,Numa Nook - frederics-serviced-apartment,0.8572578507276152,8.222222222222221,27
Couple,Medium Room,Numa Potsdamer Platz - precise-tale-berlin,2.256796371864984,6.8,5
Couple,Medium Room,Numa Savi - stilwerk-kantgaragen-berlin63,0.3796610169491526,8.88135593220339,59
Couple,Medium Room,Numa Sketch - sketch-rooms-amp-apartments,0.34590741660462165,7.928571428571429,14
Couple,Medium Room,Numa Torstraße - alte-schonhauser-str-2-10119-berlin,0.4726044808319789,8.125,8
Couple,Medium Room,Numa Vogelweider - numa-salzburg-vogelweider,0.5332206510835361,8.821989528795811,382
Couple,Medium Room - Accessible,Numa Tullo - numa-i-tullo-rooms,0.46666666666666673,8.666666666666666,3
Couple,Medium Room - Accessible,Numa Vogelweider - numa-salzburg-vogelweider,0.17312752655253064,9.3,20
Couple,Medium Room - Canal View,Numa Palazzo Orseolo - palazzo-orseolo,1.4216408418309183,7.32,25
Couple,Medium Room - Loft,Numa Boxer - almodovarhotel-berlin-biohotel,0.8242800303378557,8.083333333333334,24
Couple,Medium Room - Twin Bed,Numa Vogelweider - numa-salzburg-vogelweider,1.2273433208130855,8.222222222222221,45
Couple,Medium Room - Twin Beds,Numa Arc - numa-i-arc-rooms-amp-apartments,0.5396017162351284,8.277777777777779,18
Couple,Medium Room with Balcony,Numa Drift - gaijin,1.2659152575222878,7.933333333333334,15
Couple,Medium Room with Balcony,Numa Ivy - villa-ivy-by-heymcollections,1.285744953829907,7.88,25
Couple,Medium Room with Balcony,Numa Kudamm - about-berlin-hotel,0.8702439024390245,8.487804878048781,41
Couple,Medium Room with Balcony,Numa Maximilian - the-maximilian-by-heymcollections,,9.0,1
Couple,Medium Room with Balcony,Numa Novela - numa-i-novela-rooms-amp-apartments,0.9542245927062,8.428571428571429,14
Couple,Medium Room with Balcony,Numa Potsdamer Platz - precise-tale-berlin,5.089253164095589,5.333333333333333,3
Couple,Medium Room with Balcony,Numa Savi - stilwerk-kantgaragen-berlin63,1.610982490764485,7.888888888888889,9
Couple,Medium Room with Balcony,Numa Torstraße - alte-schonhauser-str-2-10119-berlin,,10.0,1
